county	votes	year
cheatham	10555	2002
dickson	13091	2002
hickman	6380	2002
humphreys	5836	2002
robertson	16527	2002
cheatham	11366	2006
dickson	11794	2006
hickman	5402	2006
humphreys	5313	2006
robertson	17075	2006
cheatham	9843	2010
dickson	11834	2010
hickman	5067	2010
humphreys	4784	2010
robertson	17735	2010
cheatham	8703	2014
dickson	10247	2014
hickman	4399	2014
humphreys	4094	2014
robertson	14041	2014
