"","COUNTY","PRCTSEQ","PRECINCT","PVTALLY1","PVTALLY2","Difference","TotalVotes","AvgDem","AvgStateDem","RegVoters","2016Expect","2016Expect%","Longitude","Latitude","DJT_votes_16","HRC_votes_16","diff_expect_actual_16"
"36","Hickman",11,"7-1 Nunnelly",113,39,74,152,0.295258460404124,0.275331184772314,490,287,0.585714285714286,-87.4859976,35.8615263,221,66,0
"37","Hickman",12,"7-2 Pleasantville",95,39,56,134,0.305998309138337,0.282403492924946,349,213,0.610315186246418,-87.600134,35.6585538,174,36,3
"38","Hickman",13,"7-3 Brushy",251,100,151,351,0.314063518322257,0.307222498110502,1050,638,0.607619047619048,-87.5056047,35.6813693,470,137,31
"39","Hickman",14,"7-4 Coble",104,52,52,156,0.309696081082144,0.300403059980395,391,261,0.667519181585678,-87.6378325,35.7887965,186,45,30
"40","Humphreys",1,"1-1 Jera",70,67,3,137,0.461674864376237,0.434421460337652,443,233,0.525959367945824,-87.9691873,36.0347965,171,64,-2
"41","Humphreys",2,"1-2 FWOC",306,177,129,483,0.388666999258825,0.375580297923289,1299,795,0.612009237875289,-87.8096727,36.1016943,615,198,-18
"42","Humphreys",3,"2-3 WFCN",379,228,151,607,0.398782153148004,0.366569022516949,1711,991,0.579193454120397,-87.7780637,36.0827731,684,314,-7
"43","Humphreys",4,"3-4 MLEC",263,208,55,471,0.480860438786418,0.451175372070182,1547,805,0.520361990950226,-87.7942147,36.086132,492,341,-28
"44","Humphreys",5,"4-5 FUMC",378,283,95,661,0.426534203481435,0.426717214386707,1671,1057,0.632555356074207,-87.9656927,36.0107573,773,293,-9
"45","Humphreys",6,"5-6 Wildwood",321,215,106,536,0.407905036243672,0.385434500188008,1652,919,0.556295399515738,-87.7356197,36.194728,652,278,-11
"46","Humphreys",7,"6-7 South McEwen",345,223,122,568,0.400601468223799,0.395366118186045,1672,903,0.540071770334928,-87.6546323,36.1104869,684,242,-23
"47","Humphreys",8,"7-8 North McEwen",434,197,237,631,0.336328665023139,0.319839154025133,1777,1055,0.593697242543613,-87.647143,36.109711,859,237,-41
"48","Robertson",1,"01-1 East Robertson",831,239,592,1070,0.248645829685418,0.250634492185279,3178,2048,0.644430459408433,-86.689389,36.583496,1732,469,-153
"49","Robertson",2,"02-1 Grace Park",947,236,711,1183,0.207002054140447,0.201091797969564,3125,2205,0.7056,-86.673303,36.474058,1861,476,-132
"50","Robertson",3,"03-1 Ebenezer",447,107,340,554,0.214064409671005,0.222695589129403,1444,1018,0.704986149584488,-86.805105,36.441641,845,173,0
"51","Robertson",4,"03-2 Heritage",622,136,486,758,0.194403041619466,0.191463582930984,1790,1315,0.73463687150838,-86.703421,36.474875,1115,195,5
"52","Robertson",5,"04-1 Watauga",978,330,648,1308,0.235097461185685,0.224604357120919,3247,2303,0.709270095472744,-86.764416,36.396575,1844,527,-68
"53","Robertson",6,"05-1 Greenbrier",910,246,664,1156,0.240590872663703,0.246807044315365,3158,2115,0.669727675744142,-86.804914,36.419222,1718,462,-65
"54","Robertson",7,"06-1 Coopertown",717,176,541,893,0.200687466244836,0.189843676507994,2021,1527,0.755566551212271,-86.967121,36.441376,1183,307,37
"55","Robertson",8,"06-2 Mt. Sharon",502,122,380,624,0.221492456069835,0.212667493080956,1386,1024,0.738816738816739,-86.895555,36.423937,818,177,29
"56","Robertson",9,"07-1 Jo Byrns",716,162,554,878,0.24263761144616,0.252059538170177,2343,1583,0.675629534784464,-86.986416,36.5562,1286,320,-23
"57","Robertson",10,"07-2 Stroudsville",275,70,205,345,0.219597328380737,0.218686364205506,783,558,0.712643678160919,-87.1215729,36.5159228,488,112,-42
"58","Robertson",11,"08-1 Krisle",282,47,235,329,0.233165078814469,0.228122209406215,944,638,0.675847457627119,-86.8332913,36.5415252,512,114,12
"59","Robertson",12,"08-2 HATS",259,60,199,319,0.232444106240528,0.24141012166667,899,593,0.659621802002225,-86.8652826,36.5565918,480,134,-21
"60","Robertson",13,"08-3 Owens Chapel",421,102,319,523,0.231527307089352,0.22929604521247,1341,914,0.681580909768829,-86.764441,36.520045,753,182,-21
"61","Robertson",14,"09-1 Fair Assoc.",789,306,483,1095,0.312372877742185,0.300289501341443,3004,1910,0.635818908122503,-86.882602,36.519984,1317,695,-102
"62","Robertson",15,"10-1 South Haven",960,309,651,1269,0.283880113305958,0.267962693961122,3028,2087,0.689233817701453,-86.856092,36.473194,1420,615,52
"63","Robertson",16,"11-1 Westside",723,244,479,967,0.289357025104858,0.273160366448867,2339,1606,0.686618212911501,-86.90487,36.505669,1142,520,-56
"64","Robertson",17,"11-2 Heads",213,62,151,275,0.228155328466136,0.239575927704858,582,426,0.731958762886598,-87.0495737,36.4623593,338,77,11
"65","Robertson",18,"12-1 Bransford",158,337,-179,495,0.645218464030306,0.637290410082241,2146,1050,0.48928238583411,-86.8978913,36.4992284,250,901,-101
